2025-05-30 21:12:42,503 - GameLogger - INFO - Gemini API 키가 성공적으로 설정되었어요! 냐옹! 🚀
2025-05-30 21:12:46,771 - GameLogger - INFO - 프로빈스 1 생성: 타일 5개, 인구 55,000, GDP 92,000
2025-05-30 21:12:46,775 - GameLogger - INFO - 프로빈스 2 생성: 타일 3개, 인구 53,000, GDP 87,200
2025-05-30 21:12:46,776 - GameLogger - INFO - 프로빈스 3 생성: 타일 8개, 인구 57,999, GDP 99,200
2025-05-30 21:12:46,779 - GameLogger - INFO - 프로빈스 4 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,782 - GameLogger - INFO - 프로빈스 5 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,787 - GameLogger - INFO - 프로빈스 6 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,789 - GameLogger - INFO - 프로빈스 7 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,792 - GameLogger - INFO - 프로빈스 8 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,795 - GameLogger - INFO - 프로빈스 9 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,797 - GameLogger - INFO - 프로빈스 10 생성: 타일 2개, 인구 52,000, GDP 84,800
2025-05-30 21:12:46,800 - GameLogger - INFO - 프로빈스 11 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,801 - GameLogger - INFO - 프로빈스 12 생성: 타일 15개, 인구 65,000, GDP 116,000
2025-05-30 21:12:46,802 - GameLogger - INFO - 프로빈스 13 생성: 타일 35개, 인구 85,000, GDP 164,000
2025-05-30 21:12:46,805 - GameLogger - INFO - 프로빈스 14 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,808 - GameLogger - INFO - 프로빈스 15 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,809 - GameLogger - INFO - 프로빈스 16 생성: 타일 7개, 인구 57,000, GDP 96,800
2025-05-30 21:12:46,810 - GameLogger - INFO - 프로빈스 17 생성: 타일 2개, 인구 52,000, GDP 84,800
2025-05-30 21:12:46,813 - GameLogger - INFO - 프로빈스 18 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,815 - GameLogger - INFO - 프로빈스 19 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,817 - GameLogger - INFO - 프로빈스 20 생성: 타일 2개, 인구 52,000, GDP 84,800
2025-05-30 21:12:46,821 - GameLogger - INFO - 프로빈스 21 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,822 - GameLogger - INFO - 프로빈스 22 생성: 타일 23개, 인구 73,000, GDP 135,200
2025-05-30 21:12:46,826 - GameLogger - INFO - 프로빈스 23 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,828 - GameLogger - INFO - 프로빈스 24 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,829 - GameLogger - INFO - 프로빈스 25 생성: 타일 32개, 인구 82,000, GDP 156,800
2025-05-30 21:12:46,831 - GameLogger - INFO - 프로빈스 26 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,833 - GameLogger - INFO - 프로빈스 27 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,835 - GameLogger - INFO - 프로빈스 28 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,839 - GameLogger - INFO - 프로빈스 29 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,842 - GameLogger - INFO - 프로빈스 30 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,844 - GameLogger - INFO - 프로빈스 31 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,846 - GameLogger - INFO - 프로빈스 32 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,847 - GameLogger - INFO - 프로빈스 33 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,849 - GameLogger - INFO - 프로빈스 34 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,850 - GameLogger - INFO - 프로빈스 35 생성: 타일 2개, 인구 52,000, GDP 84,800
2025-05-30 21:12:46,850 - GameLogger - INFO - 프로빈스 36 생성: 타일 5개, 인구 55,000, GDP 92,000
2025-05-30 21:12:46,853 - GameLogger - INFO - 프로빈스 37 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,855 - GameLogger - INFO - 프로빈스 38 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,857 - GameLogger - INFO - 프로빈스 39 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,861 - GameLogger - INFO - 프로빈스 40 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,863 - GameLogger - INFO - 프로빈스 41 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,864 - GameLogger - INFO - 프로빈스 42 생성: 타일 15개, 인구 65,000, GDP 116,000
2025-05-30 21:12:46,865 - GameLogger - INFO - 프로빈스 43 생성: 타일 7개, 인구 57,000, GDP 96,800
2025-05-30 21:12:46,867 - GameLogger - INFO - 프로빈스 44 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,869 - GameLogger - INFO - 프로빈스 45 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,870 - GameLogger - INFO - 프로빈스 46 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,873 - GameLogger - INFO - 프로빈스 47 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,875 - GameLogger - INFO - 프로빈스 48 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,877 - GameLogger - INFO - 프로빈스 49 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,879 - GameLogger - INFO - 프로빈스 50 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,881 - GameLogger - INFO - 프로빈스 51 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,882 - GameLogger - INFO - 프로빈스 52 생성: 타일 1개, 인구 51,000, GDP 82,400
2025-05-30 21:12:46,884 - GameLogger - INFO - 프로빈스 53 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,886 - GameLogger - INFO - 프로빈스 54 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,888 - GameLogger - INFO - 프로빈스 55 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,888 - GameLogger - INFO - 프로빈스 56 생성: 타일 16개, 인구 66,000, GDP 118,400
2025-05-30 21:12:46,890 - GameLogger - INFO - 프로빈스 57 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,892 - GameLogger - INFO - 프로빈스 58 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,893 - GameLogger - INFO - 프로빈스 59 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,895 - GameLogger - INFO - 프로빈스 60 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,897 - GameLogger - INFO - 프로빈스 61 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,899 - GameLogger - INFO - 프로빈스 62 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,901 - GameLogger - INFO - 프로빈스 63 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,903 - GameLogger - INFO - 프로빈스 64 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,904 - GameLogger - INFO - 프로빈스 65 생성: 타일 1개, 인구 51,000, GDP 82,400
2025-05-30 21:12:46,906 - GameLogger - INFO - 프로빈스 66 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,908 - GameLogger - INFO - 프로빈스 67 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,910 - GameLogger - INFO - 프로빈스 68 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,911 - GameLogger - INFO - 프로빈스 69 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,913 - GameLogger - INFO - 프로빈스 70 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,916 - GameLogger - INFO - 프로빈스 71 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,918 - GameLogger - INFO - 프로빈스 72 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,920 - GameLogger - INFO - 프로빈스 73 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,921 - GameLogger - INFO - 프로빈스 74 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,923 - GameLogger - INFO - 프로빈스 75 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,924 - GameLogger - INFO - 프로빈스 76 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,926 - GameLogger - INFO - 프로빈스 77 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,927 - GameLogger - INFO - 프로빈스 78 생성: 타일 8개, 인구 57,999, GDP 99,200
2025-05-30 21:12:46,930 - GameLogger - INFO - 프로빈스 79 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,931 - GameLogger - INFO - 프로빈스 80 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,933 - GameLogger - INFO - 프로빈스 81 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,934 - GameLogger - INFO - 프로빈스 82 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,937 - GameLogger - INFO - 프로빈스 83 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,939 - GameLogger - INFO - 프로빈스 84 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,941 - GameLogger - INFO - 프로빈스 85 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,944 - GameLogger - INFO - 프로빈스 86 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,946 - GameLogger - INFO - 프로빈스 87 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,948 - GameLogger - INFO - 프로빈스 88 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,949 - GameLogger - INFO - 프로빈스 89 생성: 타일 133개, 인구 183,000, GDP 399,200
2025-05-30 21:12:46,952 - GameLogger - INFO - 프로빈스 90 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,955 - GameLogger - INFO - 프로빈스 91 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,956 - GameLogger - INFO - 프로빈스 92 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,958 - GameLogger - INFO - 프로빈스 93 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,959 - GameLogger - INFO - 프로빈스 94 생성: 타일 2개, 인구 52,000, GDP 84,800
2025-05-30 21:12:46,961 - GameLogger - INFO - 프로빈스 95 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,963 - GameLogger - INFO - 프로빈스 96 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,966 - GameLogger - INFO - 프로빈스 97 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,967 - GameLogger - INFO - 프로빈스 98 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,969 - GameLogger - INFO - 프로빈스 99 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,971 - GameLogger - INFO - 프로빈스 100 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,973 - GameLogger - INFO - 프로빈스 101 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,974 - GameLogger - INFO - 프로빈스 102 생성: 타일 3개, 인구 53,000, GDP 87,200
2025-05-30 21:12:46,977 - GameLogger - INFO - 프로빈스 103 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,980 - GameLogger - INFO - 프로빈스 104 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,982 - GameLogger - INFO - 프로빈스 105 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,985 - GameLogger - INFO - 프로빈스 106 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,986 - GameLogger - INFO - 프로빈스 107 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,988 - GameLogger - INFO - 프로빈스 108 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,990 - GameLogger - INFO - 프로빈스 109 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,992 - GameLogger - INFO - 프로빈스 110 생성: 타일 2개, 인구 52,000, GDP 84,800
2025-05-30 21:12:46,993 - GameLogger - INFO - 프로빈스 111 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,995 - GameLogger - INFO - 프로빈스 112 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,997 - GameLogger - INFO - 프로빈스 113 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:46,999 - GameLogger - INFO - 프로빈스 114 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,001 - GameLogger - INFO - 프로빈스 115 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,003 - GameLogger - INFO - 프로빈스 116 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,006 - GameLogger - INFO - 프로빈스 117 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,007 - GameLogger - INFO - 프로빈스 118 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,009 - GameLogger - INFO - 프로빈스 119 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,011 - GameLogger - INFO - 프로빈스 120 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,013 - GameLogger - INFO - 프로빈스 121 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,016 - GameLogger - INFO - 프로빈스 122 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,018 - GameLogger - INFO - 프로빈스 123 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,019 - GameLogger - INFO - 프로빈스 124 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,021 - GameLogger - INFO - 프로빈스 125 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,023 - GameLogger - INFO - 프로빈스 126 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,023 - GameLogger - INFO - 프로빈스 127 생성: 타일 6개, 인구 56,000, GDP 94,400
2025-05-30 21:12:47,026 - GameLogger - INFO - 프로빈스 128 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,027 - GameLogger - INFO - 프로빈스 129 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,030 - GameLogger - INFO - 프로빈스 130 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,033 - GameLogger - INFO - 프로빈스 131 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,035 - GameLogger - INFO - 프로빈스 132 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,037 - GameLogger - INFO - 프로빈스 133 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,039 - GameLogger - INFO - 프로빈스 134 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,041 - GameLogger - INFO - 프로빈스 135 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,042 - GameLogger - INFO - 프로빈스 136 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,043 - GameLogger - INFO - 프로빈스 137 생성: 타일 26개, 인구 76,000, GDP 142,400
2025-05-30 21:12:47,045 - GameLogger - INFO - 프로빈스 138 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,046 - GameLogger - INFO - 프로빈스 139 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,049 - GameLogger - INFO - 프로빈스 140 생성: 타일 200개, 인구 250,000, GDP 560,000
2025-05-30 21:12:47,050 - GameLogger - INFO - 프로빈스 141 생성: 타일 24개, 인구 74,000, GDP 137,600
